delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,expected_date,actual_date,is_delayed,delivery_status,delivery_rating,delivery_cost
19,amazon logistics,documents,van,same day,north,rainy,90,33.7,04-01-2024,05-01-2024,yes,delivered,3,651.1
20,fedex,cosmetics,truck,express,north,rainy,64,6.03,05-01-2024,06-01-2024,yes,failed,2,388.09
21,fedex,automobile parts,scooter,two day,east,foggy,185.9,19.1,09-01-2024,10-01-2024,yes,delivered,4,986.8
22,dhl,electronics,scooter,two day,west,stormy,217.9,14.08,23-01-2024,26-01-2024,yes,delivered,4,1131.74
23,blue dart,automobile parts,scooter,same day,north,cold,214.1,40.85,18-01-2024,21-01-2024,yes,delivered,5,1293.05
24,ecom express,clothing,bike,standard,central,clear,251.7,34.9,16-01-2024,16-01-2024,no,delivered,4,1363.2
25,amazon logistics,furniture,van,standard,east,foggy,214.9,5.67,11-01-2024,12-01-2024,yes,delivered,5,1091.51
26,shadowfax,documents,ev van,two day,north,stormy,115.4,0.67,12-01-2024,14-01-2024,yes,delivered,4,578.59
27,dhl,clothing,ev bike,express,east,foggy,293.8,41.03,11-01-2024,11-01-2024,no,delayed,3,1632.7206
28,amazon logistics,cosmetics,scooter,standard,east,clear,286.8,46.67,07-01-2024,09-01-2024,yes,delivered,3,1574.01
29,fedex,furniture,truck,express,south,hot,136.1,48.1,21-01-2024,24-01-2024,yes,delivered,5,874.8
30,dhl,furniture,bike,two day,east,rainy,291.4,6.12,15-01-2024,15-01-2024,no,delivered,5,1475.36
31,fedex,furniture,bike,standard,south,hot,295,19.68,07-01-2024,08-01-2024,yes,delivered,5,1534.04
32,ekart,cosmetics,truck,same day,central,rainy,223.3,6.29,02-01-2024,03-01-2024,yes,failed,1,1235.37
33,delhivery,automobile parts,scooter,express,south,hot,242.5,46.73,06-01-2024,09-01-2024,yes,failed,1,1402.69
34,fedex,furniture,ev bike,two day,central,rainy,35.1,22.72,03-01-2024,05-01-2024,yes,delivered,5,243.66
35,amazon logistics,clothing,bike,express,central,stormy,81.8,45.51,24-01-2024,26-01-2024,yes,delayed,2,595.53
36,delhivery,documents,bike,same day,east,clear,37.6,22.81,03-01-2024,03-01-2024,no,delivered,4,356.43
37,amazon logistics,furniture,ev bike,express,north,rainy,46.8,4.72,09-01-2024,12-01-2024,yes,delayed,2,298.16
38,amazon logistics,electronics,scooter,same day,central,hot,233.4,18,23-01-2024,25-01-2024,yes,delivered,5,1321
39,ekart,documents,bike,standard,east,rainy,62.2,48.58,10-01-2024,12-01-2024,yes,delivered,3,456.74
40,shadowfax,clothing,ev bike,standard,south,foggy,114,43.85,07-01-2024,09-01-2024,yes,delivered,4,701.55
41,blue dart,automobile parts,ev bike,same day,north,foggy,131.5,25.79,15-01-2024,17-01-2024,yes,delivered,5,834.87
42,xpressbees,groceries,ev van,express,south,rainy,21.4,16.58,23-01-2024,25-01-2024,yes,delayed,3,206.74
43,xpressbees,fragile items,truck,standard,west,stormy,258.5,8.37,10-01-2024,10-01-2024,no,delivered,5,1317.61
44,dhl,furniture,van,two day,east,rainy,253.9,7.07,25-01-2024,26-01-2024,yes,delivered,3,1290.71
45,delhivery,furniture,ev bike,same day,north,stormy,6.7,7.96,09-01-2024,09-01-2024,no,delivered,4,157.38
46,ecom express,automobile parts,ev bike,standard,west,hot,178.1,26.7,25-01-2024,28-01-2024,yes,delivered,4,970.6
47,fedex,cosmetics,truck,standard,south,hot,180,35.04,18-01-2024,19-01-2024,yes,delivered,3,1005.12
48,ecom express,documents,scooter,two day,north,rainy,187.9,14.96,17-01-2024,17-01-2024,no,delivered,4,984.38
49,xpressbees,documents,ev van,express,west,hot,78.3,49.22,10-01-2024,13-01-2024,yes,failed,1,589.16
50,amazon logistics,pharmacy,ev bike,express,west,hot,51.6,23.45,22-01-2024,25-01-2024,yes,delivered,4,378.35
51,xpressbees,electronics,ev van,same day,central,stormy,26.9,29.86,11-01-2024,12-01-2024,yes,delivered,5,324.08
52,blue dart,clothing,truck,express,north,hot,216.7,26.89,23-01-2024,24-01-2024,yes,delayed,2,1214.17
53,dhl,electronics,van,standard,south,foggy,148.2,38.6,09-01-2024,10-01-2024,yes,delivered,4,856.8
54,fedex,cosmetics,ev van,same day,south,clear,184.2,46.79,11-01-2024,13-01-2024,yes,delivered,4,1161.37
55,fedex,groceries,truck,same day,east,stormy,167.7,42.4,17-01-2024,19-01-2024,yes,delivered,5,1065.7
56,delhivery,electronics,ev bike,standard,central,cold,197.7,25.84,02-01-2024,04-01-2024,yes,delivered,5,1066.02
57,fedex,cosmetics,ev van,standard,north,foggy,211.9,46.94,21-01-2024,24-01-2024,yes,delivered,5,1200.32
58,blue dart,pharmacy,scooter,same day,west,stormy,64.3,21.05,24-01-2024,27-01-2024,yes,delivered,5,484.65
59,xpressbees,cosmetics,scooter,two day,east,hot,206.7,3.87,11-01-2024,11-01-2024,no,delivered,4,1045.11
60,xpressbees,clothing,bike,two day,east,cold,83.5,6.81,06-01-2024,06-01-2024,no,delivered,5,437.93
61,ecom express,fragile items,truck,same day,central,foggy,9.3,47.62,08-01-2024,08-01-2024,no,delivered,5,289.36
62,xpressbees,clothing,ev bike,standard,west,rainy,245.9,47.01,07-01-2024,09-01-2024,yes,delivered,3,1370.53
63,dhl,pharmacy,ev van,express,north,stormy,225.7,45.7,03-01-2024,06-01-2024,yes,delayed,2,1315.6
64,ecom express,pharmacy,bike,express,east,hot,226,37.62,06-01-2024,07-01-2024,yes,delayed,2,1292.86
65,dhl,clothing,bike,two day,west,hot,113.3,34.03,25-01-2024,26-01-2024,yes,delivered,5,668.59
66,ekart,groceries,ev bike,standard,north,stormy,232.3,41.91,13-01-2024,16-01-2024,yes,delivered,4,1287.23
67,ecom express,electronics,scooter,express,east,cold,87.7,22.38,25-01-2024,26-01-2024,yes,failed,2,555.64
68,dhl,furniture,van,same day,east,rainy,90.1,27.46,16-01-2024,16-01-2024,no,delivered,4,632.88
69,delhivery,cosmetics,bike,express,north,rainy,110.4,44.94,12-01-2024,13-01-2024,yes,delayed,2,736.82
70,fedex,documents,bike,same day,central,cold,217.3,3.03,20-01-2024,23-01-2024,yes,delivered,5,1195.59
71,amazon logistics,furniture,truck,standard,south,rainy,75.2,28.25,02-01-2024,05-01-2024,yes,delivered,3,460.75
72,blue dart,automobile parts,ev bike,two day,south,hot,23.2,19.18,19-01-2024,21-01-2024,yes,delivered,5,173.54
73,fedex,documents,ev van,express,north,rainy,78.5,27.87,06-01-2024,08-01-2024,yes,delayed,3,526.11
74,blue dart,documents,van,express,north,hot,138.3,47.87,01-01-2024,02-01-2024,yes,delayed,3,885.11
75,xpressbees,clothing,truck,two day,north,cold,96.4,39.33,18-01-2024,18-01-2024,no,delivered,4,599.99
76,fedex,furniture,ev van,standard,west,cold,216.2,23.93,05-01-2024,08-01-2024,yes,delivered,4,1152.79
77,ekart,clothing,van,express,south,stormy,24.1,34.1,20-01-2024,20-01-2024,no,delayed,3,272.8
78,ekart,fragile items,scooter,standard,east,rainy,197.1,28.23,05-01-2024,08-01-2024,yes,delivered,4,1070.19
79,shadowfax,documents,ev bike,same day,west,foggy,94.8,10.02,15-01-2024,16-01-2024,yes,delivered,4,604.06
80,xpressbees,pharmacy,bike,express,south,hot,56,22.91,11-01-2024,14-01-2024,yes,delayed,2,398.73
81,ecom express,clothing,scooter,same day,east,stormy,70.7,5.72,09-01-2024,12-01-2024,yes,delayed,3,470.66
82,dhl,documents,bike,same day,east,rainy,60.4,22.93,03-01-2024,06-01-2024,yes,delivered,5,470.79
83,blue dart,clothing,truck,same day,central,stormy,258.4,22.08,02-01-2024,03-01-2024,yes,failed,2,1458.24
84,amazon logistics,furniture,scooter,two day,central,cold,89.3,34.98,13-01-2024,15-01-2024,yes,delivered,4,551.44
85,shadowfax,electronics,van,two day,south,clear,244,13.62,09-01-2024,09-01-2024,no,delivered,4,1260.86
86,xpressbees,electronics,truck,standard,south,stormy,87.8,19.77,07-01-2024,09-01-2024,yes,delivered,4,498.31
87,delhivery,furniture,scooter,same day,east,stormy,3.6,20.7,12-01-2024,13-01-2024,yes,delivered,4,172.6
88,ekart,furniture,van,two day,south,cold,3.6,8.75,18-01-2024,18-01-2024,no,delivered,3,95.6674
89,xpressbees,documents,van,standard,east,rainy,111,36.68,06-01-2024,07-01-2024,yes,delivered,4,665.04
90,amazon logistics,groceries,bike,express,east,rainy,256.4,33.53,15-01-2024,16-01-2024,yes,delayed,3,1432.59
91,dhl,groceries,ev van,same day,east,foggy,177.9,20.16,10-01-2024,10-01-2024,no,delivered,5,1049.98
92,amazon logistics,cosmetics,ev van,two day,east,rainy,204.2,8.09,09-01-2024,10-01-2024,yes,delivered,4,1045.27
93,amazon logistics,furniture,ev bike,standard,central,cold,125,39.41,09-01-2024,11-01-2024,yes,delivered,5,743.23
94,dhl,fragile items,bike,two day,north,hot,83.3,34.71,17-01-2024,19-01-2024,yes,delivered,4,520.63
95,ecom express,clothing,van,standard,west,foggy,193.2,33.28,11-01-2024,11-01-2024,no,delivered,4,1065.84
96,ekart,clothing,van,two day,east,foggy,174.3,47.29,03-01-2024,03-01-2024,no,delivered,5,1013.37
97,ekart,groceries,bike,same day,west,clear,11.4,40.22,01-01-2024,04-01-2024,yes,delivered,5,277.66
98,xpressbees,electronics,ev van,express,east,clear,166.4,44.96,23-01-2024,26-01-2024,yes,delayed,2,1016.88
99,shadowfax,cosmetics,van,standard,west,stormy,189.6,38.07,17-01-2024,17-01-2024,no,delivered,5,1062.21
100,blue dart,groceries,truck,express,west,stormy,111.2,37.33,07-01-2024,08-01-2024,yes,delayed,2,717.99
101,amazon logistics,groceries,ev bike,same day,west,hot,103.2,37.97,21-01-2024,24-01-2024,yes,delivered,5,729.91
102,blue dart,furniture,scooter,standard,east,clear,236.4,47.28,20-01-2024,23-01-2024,yes,delivered,4,1323.84
103,amazon logistics,electronics,van,same day,central,clear,111.9,26.34,17-01-2024,19-01-2024,yes,delivered,5,738.52
104,delhivery,groceries,ev van,standard,south,stormy,86.6,20.64,06-01-2024,06-01-2024,no,delivered,5,494.92
105,amazon logistics,automobile parts,ev bike,standard,west,clear,235.6,48.07,19-01-2024,19-01-2024,no,delivered,5,1322.21
106,amazon logistics,pharmacy,truck,same day,south,cold,295.5,48.45,21-01-2024,22-01-2024,yes,delivered,4,1632.7206
107,amazon logistics,pharmacy,truck,two day,west,foggy,56.3,43.65,10-01-2024,13-01-2024,yes,delivered,5,412.45
108,shadowfax,furniture,bike,two day,central,stormy,114.2,28.82,06-01-2024,07-01-2024,yes,delivered,5,657.46
109,fedex,furniture,scooter,same day,north,hot,3.6,31.41,12-01-2024,15-01-2024,yes,delivered,4,203.23
110,xpressbees,automobile parts,bike,same day,west,stormy,146.2,22.55,20-01-2024,20-01-2024,no,failed,2,898.65
111,ekart,automobile parts,ev bike,same day,east,clear,85.6,10.69,19-01-2024,22-01-2024,yes,delivered,4,560.07
112,amazon logistics,groceries,ev van,express,south,rainy,247.9,5.23,05-01-2024,06-01-2024,yes,failed,2,1305.19
113,shadowfax,automobile parts,bike,standard,south,foggy,274.8,0.82,12-01-2024,15-01-2024,yes,delivered,4,1376.46
114,fedex,electronics,scooter,standard,west,clear,35.7,10.8,24-01-2024,24-01-2024,no,delivered,3,210.9
115,fedex,documents,van,express,central,stormy,259.3,27.01,20-01-2024,20-01-2024,no,failed,1,1427.53
116,shadowfax,documents,ev bike,same day,south,clear,65.3,45.09,25-01-2024,27-01-2024,yes,delivered,5,561.77
117,delhivery,cosmetics,van,express,south,clear,93.1,20.89,10-01-2024,11-01-2024,yes,delivered,3,578.17
118,blue dart,pharmacy,bike,standard,central,hot,265.8,32.11,19-01-2024,20-01-2024,yes,delivered,5,1425.33
119,ekart,furniture,truck,two day,west,clear,110.2,23.24,14-01-2024,15-01-2024,yes,delivered,4,620.72
120,blue dart,documents,bike,standard,west,clear,6,0.88,03-01-2024,06-01-2024,yes,delivered,4,95.6674
121,dhl,furniture,truck,two day,east,foggy,16.5,21.49,12-01-2024,15-01-2024,yes,delivered,4,146.97
122,xpressbees,documents,ev van,standard,north,cold,102,18.67,25-01-2024,25-01-2024,no,delivered,4,566.01
123,shadowfax,furniture,bike,express,north,rainy,265.4,15.96,07-01-2024,10-01-2024,yes,delayed,3,1424.88
124,fedex,groceries,ev van,two day,north,foggy,27.5,15.43,11-01-2024,13-01-2024,yes,delivered,5,183.79
125,amazon logistics,fragile items,truck,two day,south,hot,59.5,7.79,05-01-2024,05-01-2024,no,delivered,3,320.87
126,shadowfax,cosmetics,bike,express,north,cold,290.2,29.26,23-01-2024,25-01-2024,yes,delivered,4,1588.78
127,delhivery,clothing,scooter,standard,east,rainy,124,40.2,25-01-2024,25-01-2024,no,delivered,4,740.6
128,xpressbees,automobile parts,scooter,two day,north,clear,261.9,41.68,11-01-2024,12-01-2024,yes,delivered,4,1434.54
129,shadowfax,pharmacy,ev van,two day,central,rainy,115.6,13.57,24-01-2024,27-01-2024,yes,delivered,5,618.71
130,shadowfax,groceries,ev bike,express,east,hot,156,14.49,10-01-2024,13-01-2024,yes,delivered,3,873.47
131,shadowfax,furniture,van,standard,north,foggy,284.1,14.35,20-01-2024,23-01-2024,yes,delivered,4,1463.55
132,fedex,clothing,truck,same day,north,cold,287,8.21,17-01-2024,20-01-2024,yes,failed,1,1559.63
133,delhivery,electronics,van,two day,north,foggy,50.5,31.28,16-01-2024,17-01-2024,yes,delivered,4,346.34
134,shadowfax,groceries,van,two day,west,foggy,203.3,7.5,15-01-2024,18-01-2024,yes,delivered,4,1039
135,amazon logistics,fragile items,truck,same day,west,hot,127.8,20.03,11-01-2024,12-01-2024,yes,delivered,3,799.09
136,ekart,groceries,scooter,two day,east,cold,45.8,27.22,18-01-2024,18-01-2024,no,delivered,5,310.66
137,shadowfax,groceries,ev bike,same day,west,hot,8.7,33.93,25-01-2024,27-01-2024,yes,delivered,5,245.29
138,delhivery,automobile parts,ev van,standard,north,rainy,152.8,48.37,04-01-2024,06-01-2024,yes,delivered,4,909.11
139,dhl,automobile parts,ev van,same day,south,rainy,29,40.89,12-01-2024,12-01-2024,no,delivered,4,367.67
140,dhl,furniture,scooter,standard,north,clear,281.6,19.81,18-01-2024,20-01-2024,yes,delivered,3,1467.43
141,ecom express,electronics,van,same day,east,stormy,75.7,41.47,18-01-2024,20-01-2024,yes,delayed,2,602.91
142,blue dart,cosmetics,scooter,standard,north,cold,132.5,14.18,20-01-2024,20-01-2024,no,delivered,4,705.04
143,ekart,cosmetics,truck,standard,west,rainy,218.2,34,22-01-2024,24-01-2024,yes,delivered,5,1193
144,dhl,automobile parts,scooter,express,east,rainy,152.8,10.46,21-01-2024,21-01-2024,no,delayed,2,845.38
145,ecom express,automobile parts,van,same day,west,cold,113.8,21.95,22-01-2024,25-01-2024,yes,delivered,3,734.85
146,amazon logistics,pharmacy,bike,standard,east,clear,189.3,30.78,23-01-2024,25-01-2024,yes,delivered,5,1038.84
147,delhivery,electronics,truck,two day,north,rainy,60.1,40.63,02-01-2024,03-01-2024,yes,delivered,3,422.39
148,ekart,documents,truck,same day,south,foggy,147.7,46.57,09-01-2024,10-01-2024,yes,delivered,4,978.21
149,amazon logistics,cosmetics,truck,two day,north,cold,289,48.99,13-01-2024,13-01-2024,no,delivered,4,1591.97
150,delhivery,pharmacy,van,express,north,cold,235.6,42.35,13-01-2024,16-01-2024,yes,delayed,3,1355.05
151,amazon logistics,groceries,ev bike,same day,central,cold,101.1,9.76,06-01-2024,06-01-2024,no,delivered,4,634.78
152,ekart,groceries,truck,two day,central,cold,273.9,42.56,19-01-2024,22-01-2024,yes,delivered,3,1497.18
153,ecom express,cosmetics,scooter,standard,north,clear,262.6,29.36,24-01-2024,25-01-2024,yes,delivered,4,1401.08
154,ekart,groceries,van,two day,east,clear,82.2,18.81,09-01-2024,12-01-2024,yes,delivered,3,467.43
155,dhl,clothing,truck,same day,south,cold,280.3,15.29,02-01-2024,05-01-2024,yes,delivered,4,1547.37
156,shadowfax,automobile parts,bike,same day,east,foggy,146.1,36.12,07-01-2024,10-01-2024,yes,delayed,2,938.86
157,blue dart,groceries,van,same day,west,clear,279.9,21.63,03-01-2024,05-01-2024,yes,failed,2,1564.39
158,shadowfax,documents,ev van,same day,south,stormy,165.4,43.2,18-01-2024,21-01-2024,yes,delayed,2,1056.6
159,fedex,electronics,van,two day,central,cold,29.9,47.31,18-01-2024,20-01-2024,yes,delivered,3,291.43
160,amazon logistics,furniture,truck,standard,north,hot,42.6,44.55,15-01-2024,17-01-2024,yes,delivered,4,346.65
161,ecom express,automobile parts,ev bike,standard,east,foggy,149.9,23.31,16-01-2024,16-01-2024,no,delivered,4,819.43
162,shadowfax,clothing,scooter,standard,west,rainy,8.4,44.16,06-01-2024,07-01-2024,yes,delivered,4,174.48
163,dhl,documents,ev bike,two day,east,hot,230.8,30.01,03-01-2024,03-01-2024,no,delivered,4,1244.03
164,dhl,clothing,bike,express,west,clear,93,9.37,17-01-2024,17-01-2024,no,delivered,4,543.11
165,dhl,electronics,van,two day,west,clear,10.4,4.59,21-01-2024,21-01-2024,no,delivered,4,95.6674
166,amazon logistics,pharmacy,truck,two day,north,hot,194.9,2.42,22-01-2024,25-01-2024,yes,delivered,4,981.76
167,ekart,documents,scooter,express,west,rainy,182.1,2.26,04-01-2024,07-01-2024,yes,delayed,2,967.28
168,blue dart,cosmetics,ev bike,standard,south,clear,38.8,40.89,08-01-2024,09-01-2024,yes,delivered,4,316.67
169,dhl,groceries,bike,two day,north,cold,55.2,6.78,09-01-2024,11-01-2024,yes,delivered,3,296.34
170,delhivery,pharmacy,truck,express,east,stormy,223.3,44.36,22-01-2024,25-01-2024,yes,failed,1,1299.58
171,delhivery,electronics,truck,express,west,hot,46.2,14.83,07-01-2024,10-01-2024,yes,delivered,5,325.49
172,delhivery,documents,ev bike,two day,south,hot,3.6,49.52,11-01-2024,14-01-2024,yes,delivered,5,163.39
173,xpressbees,groceries,scooter,express,north,hot,297.1,22,21-01-2024,21-01-2024,no,delivered,5,1615.5
174,xpressbees,electronics,bike,express,central,hot,87.8,7.72,17-01-2024,19-01-2024,yes,delivered,5,512.16
175,xpressbees,groceries,truck,express,central,hot,267.4,11.53,06-01-2024,06-01-2024,no,delayed,2,1421.59
176,fedex,furniture,ev van,two day,east,stormy,124.8,10.84,20-01-2024,22-01-2024,yes,delivered,4,656.52
177,xpressbees,groceries,ev bike,express,south,clear,288.9,8.3,09-01-2024,11-01-2024,yes,delivered,4,1519.4
178,blue dart,furniture,scooter,two day,central,hot,129.5,39.84,22-01-2024,24-01-2024,yes,delivered,4,767.02
179,ecom express,fragile items,van,same day,south,foggy,225,7.32,24-01-2024,27-01-2024,yes,delayed,3,1246.96
180,fedex,cosmetics,scooter,standard,south,stormy,289.7,24.36,11-01-2024,11-01-2024,no,delivered,5,1521.58
181,ecom express,electronics,ev bike,standard,south,rainy,85.4,41.07,24-01-2024,27-01-2024,yes,delivered,4,550.21
182,blue dart,pharmacy,truck,same day,east,hot,9.9,30.24,19-01-2024,22-01-2024,yes,delivered,3,240.22
183,fedex,automobile parts,van,standard,west,hot,135.1,37.59,02-01-2024,02-01-2024,no,delivered,5,788.27
184,xpressbees,fragile items,bike,standard,south,stormy,228.6,5.64,11-01-2024,12-01-2024,yes,delivered,4,1159.92
185,fedex,documents,truck,express,north,rainy,169.6,41.44,17-01-2024,17-01-2024,no,delayed,3,1022.32
186,fedex,fragile items,van,express,central,foggy,250.7,29.97,14-01-2024,17-01-2024,yes,failed,2,1393.41
187,blue dart,fragile items,bike,two day,north,rainy,80.7,0.67,18-01-2024,19-01-2024,yes,delivered,4,404.76
188,dhl,groceries,scooter,two day,east,stormy,21.3,41.19,10-01-2024,12-01-2024,yes,delivered,3,230.07
189,ekart,fragile items,ev bike,two day,north,clear,67.1,32.91,23-01-2024,24-01-2024,yes,delivered,4,434.23
190,ekart,pharmacy,ev bike,standard,west,foggy,69.4,0.99,25-01-2024,26-01-2024,yes,delivered,3,349.97
191,xpressbees,cosmetics,van,two day,south,cold,101.2,39.37,24-01-2024,25-01-2024,yes,delivered,5,624.11
192,shadowfax,cosmetics,ev bike,two day,north,rainy,94.2,49.37,18-01-2024,19-01-2024,yes,delivered,4,619.11
193,shadowfax,fragile items,ev bike,same day,north,foggy,71,32.56,07-01-2024,07-01-2024,no,delivered,3,552.68
194,dhl,automobile parts,truck,two day,east,foggy,37.4,42.36,25-01-2024,27-01-2024,yes,delivered,4,314.08
195,ecom express,fragile items,scooter,two day,north,cold,157,43.03,21-01-2024,23-01-2024,yes,delivered,4,914.09
196,delhivery,groceries,van,same day,east,cold,213.7,49.52,20-01-2024,21-01-2024,yes,delivered,5,1317.81
197,dhl,pharmacy,ev bike,express,central,cold,272.6,12.84,05-01-2024,07-01-2024,yes,delayed,2,1451.52
198,blue dart,pharmacy,scooter,express,south,stormy,83.5,24.02,05-01-2024,06-01-2024,yes,delayed,2,539.56
199,dhl,fragile items,truck,express,central,foggy,198.5,20.1,15-01-2024,16-01-2024,yes,delivered,5,1102.8
200,ecom express,groceries,ev bike,express,west,hot,158.7,35.06,20-01-2024,22-01-2024,yes,failed,2,948.68
201,dhl,documents,truck,same day,north,clear,265.3,31.8,01-01-2024,04-01-2024,yes,delivered,5,1521.9
202,ecom express,cosmetics,truck,express,east,stormy,208.8,22.83,06-01-2024,07-01-2024,yes,delayed,2,1162.49
203,fedex,automobile parts,scooter,express,east,rainy,55.7,46.5,25-01-2024,26-01-2024,yes,failed,1,468
204,xpressbees,automobile parts,van,standard,east,foggy,80.6,45.16,16-01-2024,18-01-2024,yes,delivered,3,538.48
205,fedex,clothing,bike,same day,east,stormy,187.7,6.69,17-01-2024,19-01-2024,yes,delayed,3,1058.57
206,ekart,automobile parts,bike,standard,south,foggy,225.6,22.83,12-01-2024,15-01-2024,yes,delivered,5,1196.49
207,xpressbees,fragile items,truck,express,east,rainy,24.5,0.67,23-01-2024,23-01-2024,no,delayed,2,174.12
208,ecom express,clothing,scooter,standard,west,rainy,194.3,29.51,08-01-2024,08-01-2024,no,delivered,4,1060.03
209,ekart,electronics,van,express,central,foggy,52,43.18,10-01-2024,12-01-2024,yes,delayed,3,439.54
210,amazon logistics,clothing,van,same day,north,clear,282.9,31.33,01-01-2024,02-01-2024,yes,delayed,2,1608.49
211,ekart,automobile parts,van,same day,north,cold,289.2,16.14,20-01-2024,21-01-2024,yes,failed,1,1594.42
212,xpressbees,cosmetics,ev bike,standard,east,cold,257.9,45.92,02-01-2024,04-01-2024,yes,delivered,3,1427.26
213,amazon logistics,pharmacy,van,same day,east,hot,258.3,42.79,22-01-2024,23-01-2024,yes,delayed,2,1519.87
214,fedex,pharmacy,ev van,express,central,rainy,288.4,44.12,14-01-2024,14-01-2024,no,delayed,2,1624.36
215,xpressbees,groceries,van,express,east,hot,86.5,37.04,15-01-2024,17-01-2024,yes,delivered,4,593.62
216,ekart,automobile parts,ev van,same day,south,stormy,157.3,4.51,10-01-2024,13-01-2024,yes,delayed,2,900.03
217,delhivery,clothing,ev van,standard,central,rainy,41,29.25,14-01-2024,14-01-2024,no,delivered,5,292.75
218,delhivery,documents,van,standard,central,foggy,137.4,27.87,12-01-2024,13-01-2024,yes,delivered,3,770.61
219,fedex,clothing,ev bike,standard,north,clear,32.3,46.58,14-01-2024,16-01-2024,yes,delivered,4,301.24
220,ecom express,fragile items,van,express,central,clear,207.8,40.12,11-01-2024,14-01-2024,yes,delayed,2,1209.36
221,blue dart,furniture,ev van,standard,south,foggy,23.6,12.4,02-01-2024,03-01-2024,yes,delivered,4,155.2
222,fedex,cosmetics,ev bike,standard,south,clear,258,37.92,06-01-2024,06-01-2024,no,delivered,4,1403.76
223,xpressbees,automobile parts,van,same day,north,cold,255.6,18.93,09-01-2024,10-01-2024,yes,delivered,5,1434.79
224,blue dart,clothing,scooter,standard,north,cold,289.7,19.13,18-01-2024,21-01-2024,yes,delivered,5,1505.89
225,xpressbees,automobile parts,ev van,express,north,rainy,9.1,45.65,18-01-2024,18-01-2024,no,delayed,3,232.45
226,ekart,clothing,truck,standard,west,foggy,245.8,4.19,08-01-2024,08-01-2024,no,delivered,5,1241.57
227,amazon logistics,cosmetics,ev bike,two day,central,hot,88.6,8.67,02-01-2024,05-01-2024,yes,delivered,3,469.01
228,shadowfax,cosmetics,ev bike,standard,central,rainy,59.6,20.84,13-01-2024,14-01-2024,yes,delivered,4,360.52
229,fedex,fragile items,bike,express,east,hot,225.4,22.3,09-01-2024,11-01-2024,yes,delivered,5,1243.9
230,blue dart,clothing,scooter,express,south,clear,36.9,45.45,22-01-2024,23-01-2024,yes,delayed,3,370.85
231,fedex,automobile parts,ev van,same day,central,stormy,262.9,31.73,09-01-2024,09-01-2024,no,delayed,2,1509.69
232,amazon logistics,fragile items,scooter,standard,central,clear,262.7,28.7,21-01-2024,21-01-2024,no,delivered,5,1399.6
233,delhivery,electronics,ev van,two day,east,hot,167.2,35.91,04-01-2024,04-01-2024,no,delivered,3,943.73
234,xpressbees,pharmacy,van,express,south,hot,127.4,3.49,14-01-2024,17-01-2024,yes,delivered,3,697.47
235,fedex,fragile items,ev van,standard,central,foggy,267,26.49,19-01-2024,22-01-2024,yes,delivered,3,1414.47
236,xpressbees,furniture,truck,same day,south,cold,214,34.34,05-01-2024,06-01-2024,yes,delivered,4,1273.02
